,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
97,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",10275,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
98,"Astronaut In The Ocean","Masked Wolf",10220,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
99,Celebrity,IU,10056,https://open.spotify.com/track/5nCwjUUsmBuNZKn9Xu10Os
100,Hello,JOY,10051,https://open.spotify.com/track/3cGp1jXxLReLKz7QgVbWZR
101,comethru,"Jeremy Zucker",10029,https://open.spotify.com/track/18uwL0vNUanqZH0ro2QcOP
102,"Boy With Luv (feat. Halsey)",BTS,9987,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
103,ฝันถึงแฟนเก่า,"Three Man Down",9865,https://open.spotify.com/track/3kJG9AsDp8CPiqeIXtvHTM
104,Heather,"Conan Gray",9701,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
105,traitor,"Olivia Rodrigo",9652,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
106,"First Time",TWICE,9608,https://open.spotify.com/track/3YdqewCLgGsFhruA3EhILy
107,"Stuck with U (with Justin Bieber)","Ariana Grande",9572,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
108,"Just as usual",EXO,9570,https://open.spotify.com/track/64xTu0cKbXu3ZSRkfXiBnx
109,"แค่เธอเข้ามา (Worth The Wait)","Tilly Birds",9506,https://open.spotify.com/track/6a5f2v5IlyeEXQRn65MFdS
110,เกี้ยวพาราสี,P-Hot,9469,https://open.spotify.com/track/0QARp3CBkKU4VWVqJJx4a5
111,"Hold On","Justin Bieber",9312,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
112,"I Like Me Better",Lauv,9301,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
113,กอดความเจ็บช้ำ,Safeplanet,9279,https://open.spotify.com/track/13y3BLdlSdVH7wJwavs06O
114,Runaway,EXO,9058,https://open.spotify.com/track/238Ra1ggmx3wUkHyZ8EjST
115,คนไกล,Patrickananda,8892,https://open.spotify.com/track/63VOJDNJ3a5dve74kzWVcF
116,ปล่อยปาก,"Atom Chanakan",8855,https://open.spotify.com/track/692Ch9apeq9cOvZ5FalzVB
